model,n,acc_overall,acc_sham_A,acc_sham_B,balanced_acc,toolA_rate,ci_overall
deepseek-reasoner,500,78.2,60.7,96.0,78.3,67.4,"[np.float64(74.4), np.float64(81.6)]"
Qwen/Qwen3-VL-8B-Instruct,500,73.0,53.6,92.7,73.2,69.4,"[np.float64(68.9), np.float64(76.7)]"
ServiceNow-AI/Apriel-1.6-15b-Thinker,500,71.4,45.6,97.6,71.6,75.8,"[np.float64(67.3), np.float64(75.2)]"
openai/gpt-oss-120b,500,71.0,49.6,92.7,71.2,71.4,"[np.float64(66.9), np.float64(74.8)]"
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,500,69.8,65.9,73.8,69.8,53.8,"[np.float64(65.6), np.float64(73.7)]"
openai/gpt-oss-20b,500,69.2,44.0,94.8,69.4,75.2,"[np.float64(65.0), np.float64(73.1)]"
Qwen/Qwen3-Next-80B-A3B-Thinking,500,64.0,29.8,98.8,64.3,84.4,"[np.float64(59.7), np.float64(68.1)]"
mistralai/Mistral-Small-24B-Instruct-2501,500,64.2,59.1,69.4,64.2,55.0,"[np.float64(59.9), np.float64(68.3)]"
gpt-4.1-2025-04-14,500,63.8,35.3,92.7,64.0,78.6,"[np.float64(59.5), np.float64(67.9)]"
deepseek-chat,500,60.6,46.8,74.6,60.7,63.8,"[np.float64(56.3), np.float64(64.8)]"
gpt-5-nano-2025-08-07,500,56.4,26.6,86.7,56.6,80.0,"[np.float64(52.0), np.float64(60.7)]"
meta-llama/Llama-4-Scout-17B-16E-Instruct,500,54.2,49.2,59.3,54.2,55.0,"[np.float64(49.8), np.float64(58.5)]"
google/gemma-3n-E4B-it,500,53.6,43.3,64.1,53.7,60.4,"[np.float64(49.2), np.float64(57.9)]"
gpt-4o-mini-2024-07-18,500,52.8,7.5,98.8,53.2,95.6,"[np.float64(48.4), np.float64(57.1)]"
meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,500,52.6,30.6,75.0,52.8,72.2,"[np.float64(48.2), np.float64(56.9)]"
meta-llama/Llama-3.3-70B-Instruct-Turbo,500,50.8,19.0,83.1,51.1,82.0,"[np.float64(46.4), np.float64(55.2)]"
gpt-4.1-nano-2025-04-14,500,50.4,9.1,92.3,50.7,91.6,"[np.float64(46.0), np.float64(54.8)]"
gemini-2.5-flash-lite,500,50.6,18.3,83.1,50.7,82.4,"[np.float64(46.2), np.float64(55.0)]"
meta-llama/Llama-3.2-3B-Instruct-Turbo,500,49.4,36.5,62.5,49.5,63.0,"[np.float64(45.0), np.float64(53.8)]"
nvidia/NVIDIA-Nemotron-Nano-9B-v2,500,47.0,20.2,74.2,47.2,77.0,"[np.float64(42.7), np.float64(51.4)]"
mistralai/Mixtral-8x7B-Instruct-v0.1,500,44.0,20.6,67.7,44.2,73.6,"[np.float64(39.7), np.float64(48.4)]"
