model,acc_sham_A,acc_sham_B,balanced_acc,sum,z,p_raw,p_FDR,content_sensitive
deepseek-reasoner,60.7,96.0,78.3,1.567,17.07,0.0,0.0,True
Qwen/Qwen3-VL-8B-Instruct,53.6,92.7,73.2,1.463,13.06,0.0,0.0,True
ServiceNow-AI/Apriel-1.6-15b-Thinker,45.6,97.6,71.6,1.432,13.15,0.0,0.0,True
openai/gpt-oss-120b,49.6,92.7,71.2,1.423,11.91,0.0,0.0,True
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,65.9,73.8,69.8,1.397,9.7,0.0,0.0,True
openai/gpt-oss-20b,44.0,94.8,69.4,1.388,11.3,0.0,0.0,True
Qwen/Qwen3-Next-80B-A3B-Thinking,29.8,98.8,64.3,1.286,9.64,0.0,0.0,True
mistralai/Mistral-Small-24B-Instruct-2501,59.1,69.4,64.2,1.285,6.68,2.3321344855276038e-11,5.441647132897742e-11,True
gpt-4.1-2025-04-14,35.3,92.7,64.0,1.281,8.18,2.220446049250313e-16,5.828670879282072e-16,True
deepseek-chat,46.8,74.6,60.7,1.214,5.12,3.0928948846487003e-07,6.495079257762271e-07,True
gpt-5-nano-2025-08-07,26.6,86.7,56.6,1.133,3.77,0.00016196402211043903,0.0003092040422108381,True
meta-llama/Llama-4-Scout-17B-16E-Instruct,49.2,59.3,54.2,1.085,1.91,0.055744835321323016,0.08361725298198452,False
google/gemma-3n-E4B-it,43.3,64.1,53.7,1.074,1.69,0.0911628300401015,0.1276279620561421,False
gpt-4o-mini-2024-07-18,7.5,98.8,53.2,1.063,3.51,0.0004443918292507121,0.0007776857011887461,True
meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,30.6,75.0,52.8,1.056,1.39,0.1646126971156523,0.20334509643698223,False
meta-llama/Llama-3.3-70B-Instruct-Turbo,19.0,83.1,51.1,1.021,0.62,0.5384911519145079,0.6126522721565881,False
gemini-2.5-flash-lite,18.3,83.1,50.7,1.015,0.43,0.6682591786569756,0.7016721375898244,False
gpt-4.1-nano-2025-04-14,9.1,92.3,50.7,1.015,0.59,0.5543044367131036,0.6126522721565881,False
meta-llama/Llama-3.2-3B-Instruct-Turbo,36.5,62.5,49.5,0.99,-0.23,0.8183034603324015,0.8183034603324015,False
nvidia/NVIDIA-Nemotron-Nano-9B-v2,20.2,74.2,47.2,0.944,-1.48,0.1384607850428834,0.18172978036878445,False
mistralai/Mixtral-8x7B-Instruct-v0.1,20.6,67.7,44.2,0.884,-2.97,0.002972880451140636,0.004802345344150258,False
